cumulative_reward_relative,cumulative_reward_original
-5.0,-5.0
-3.5,-3.0
-2.3333333333333335,-2.0
-1.75,-1.5
-1.3,-1.1
-1.1666666666666667,-0.8333333333333334
-1.0,-0.5714285714285714
-0.8125,-0.4375
-0.6666666666666666,-0.3333333333333333
-0.5,-0.25
-0.45454545454545453,-0.18181818181818182
-0.3333333333333333,-0.16666666666666666
-0.34615384615384615,-0.07692307692307693
-0.25,-0.03571428571428571
-0.26666666666666666,0.03333333333333333
-0.3125,0.0625
-0.23529411764705882,0.11764705882352941
-0.2222222222222222,0.1388888888888889
-0.21052631578947367,0.15789473684210525
-0.175,0.175
-0.14285714285714285,0.19047619047619047
-0.09090909090909091,0.20454545454545456
-0.043478260869565216,0.2391304347826087
-0.041666666666666664,0.25
0.0,0.28
0.019230769230769232,0.2692307692307692
0.018518518518518517,0.25925925925925924
0.0,0.25
-0.017241379310344827,0.2413793103448276
-0.016666666666666666,0.25
-0.016129032258064516,0.24193548387096775
-0.015625,0.25
0.0,0.25757575757575757
0.029411764705882353,0.25
0.02857142857142857,0.24285714285714285
0.041666666666666664,0.25
0.04054054054054054,0.25675675675675674
0.039473684210526314,0.2631578947368421
0.0641025641025641,0.2564102564102564
0.075,0.275
0.06097560975609756,0.2682926829268293
0.05952380952380952,0.2619047619047619
0.05813953488372093,0.26744186046511625
0.056818181818181816,0.2840909090909091
0.07777777777777778,0.2777777777777778
0.07608695652173914,0.2717391304347826
0.07446808510638298,0.2553191489361702
0.07291666666666667,0.2604166666666667
0.08163265306122448,0.25510204081632654
0.09,0.26
0.10784313725490197,0.27450980392156865
0.10576923076923077,0.2692307692307692
0.12264150943396226,0.2641509433962264
0.12037037037037036,0.26851851851851855
0.11818181818181818,0.2818181818181818
0.13392857142857142,0.2857142857142857
0.14035087719298245,0.2894736842105263
0.13793103448275862,0.29310344827586204
0.1440677966101695,0.288135593220339
0.14166666666666666,0.2916666666666667
0.14754098360655737,0.28688524590163933
0.16129032258064516,0.2903225806451613
0.15873015873015872,0.30158730158730157
0.15625,0.296875
0.15384615384615385,0.2923076923076923
0.15151515151515152,0.2878787878787879
0.14925373134328357,0.291044776119403
0.13970588235294118,0.27941176470588236
0.13768115942028986,0.2753623188405797
0.1357142857142857,0.2714285714285714
0.13380281690140844,0.2746478873239437
0.1388888888888889,0.2777777777777778
0.136986301369863,0.2808219178082192
0.13513513513513514,0.27702702702702703
0.13333333333333333,0.2733333333333333
0.13815789473684212,0.27631578947368424
0.13636363636363635,0.2727272727272727
0.14102564102564102,0.27564102564102566
0.13924050632911392,0.27848101265822783
0.14375,0.275
0.14814814814814814,0.2716049382716049
0.14634146341463414,0.27439024390243905
0.14457831325301204,0.2710843373493976
0.14285714285714285,0.27380952380952384
0.1411764705882353,0.27058823529411763
0.1511627906976744,0.26744186046511625
0.14942528735632185,0.26436781609195403
0.14772727272727273,0.26704545454545453
0.14606741573033707,0.2696629213483146
0.15,0.2722222222222222
0.14835164835164835,0.2692307692307692
0.14673913043478262,0.266304347826087
0.15053763440860216,0.26344086021505375
0.14893617021276595,0.26063829787234044
0.14736842105263157,0.2578947368421053
0.15104166666666666,0.2552083333333333
0.14948453608247422,0.25773195876288657
0.14795918367346939,0.2602040816326531
0.14646464646464646,0.25757575757575757
0.145,0.255
0.14356435643564355,0.2524752475247525
0.14705882352941177,0.25
0.14563106796116504,0.2524271844660194
0.14423076923076922,0.25
