Category,Polls,MSE,RMSE,MAE
Overall,0,1075219.4999719278,1036.9279145494772,163.14842928915087
Category A,0,4.515674073057471,2.125011546570388,1.9115655183340736
Category B,0,4.591245771643548,2.1427192470418395,1.9192905367361013
Category C,0,4.676326464828854,2.1624815524829,1.9292747412974813
